transaction_id,order_id,order_date,customer_id,channel_type,sku_id,quantity,price,before_discount,discount_item,after_discount,is_gross,is_valid,is_net
TX0000001,ORD0000001-1,2024-05-16 17:53:01,CUST03079,Play Store,SKU01954,4,102468,409872,31844,378028,1,1,1
TX0000002,ORD0000002-1,2020-05-23 15:44:12,CUST01021,Website,SKU00853,1,228213,228213,0,228213,1,1,1
TX0000003,ORD0000003-1,2020-12-03 23:02:48,CUST02197,Website,SKU04650,2,257424,514848,0,514848,1,1,0
TX0000003,ORD0000003-2,2020-12-03 23:02:48,CUST02197,Website,SKU03226,1,207677,207677,24635,183042,1,1,1
TX0000003,ORD0000003-3,2020-12-03 23:02:48,CUST02197,Website,SKU01922,2,12452370,24904740,0,24904740,1,1,1
TX0000004,ORD0000004-1,2024-08-12 08:32:49,CUST01112,App Store,SKU04948,1,1046312,1046312,0,1046312,1,1,1
TX0000005,ORD0000005-1,2020-11-15 06:13:56,CUST04805,Play Store,SKU04923,1,139618,139618,0,139618,1,1,1
TX0000006,ORD0000006-1,2023-12-02 22:10:22,CUST03561,Website,SKU03400,1,111214,111214,0,111214,1,1,1
TX0000006,ORD0000006-2,2023-12-02 22:10:22,CUST03561,Website,SKU04905,1,417971,417971,0,417971,1,1,1
TX0000007,ORD0000007-1,2024-12-08 08:56:50,CUST02993,Play Store,SKU01746,1,410588,410588,0,410588,1,1,1
TX0000008,ORD0000008-1,2021-01-15 07:59:18,CUST01745,App Store,SKU01548,1,5134792,5134792,0,5134792,1,1,1
TX0000009,ORD0000009-1,2020-09-07 22:46:41,CUST03569,Play Store,SKU00898,2,644442,1288884,0,1288884,1,1,0
TX0000010,ORD0000010-1,2022-02-09 05:23:05,CUST02420,App Store,SKU04141,1,178088,178088,0,178088,1,1,1
TX0000011,ORD0000011-1,2021-12-19 07:48:16,CUST04589,App Store,SKU03377,1,351076,351076,61004,290072,1,1,0
TX0000012,ORD0000012-1,2020-11-08 17:34:22,CUST03685,Play Store,SKU04518,1,67402,67402,4048,63354,1,1,1
TX0000013,ORD0000013-1,2022-12-11 09:13:26,CUST00292,Website,SKU03241,1,497590,497590,39511,458079,1,1,1
TX0000013,ORD0000013-2,2022-12-11 09:13:26,CUST00292,Website,SKU02874,1,144006,144006,0,144006,1,1,1
TX0000014,ORD0000014-1,2022-01-15 17:26:36,CUST02220,Play Store,SKU04315,2,34898,69796,5730,64066,1,1,1
TX0000015,ORD0000015-1,2021-09-30 06:40:19,CUST02020,Play Store,SKU03596,2,736201,1472402,124697,1347705,1,1,1
TX0000016,ORD0000016-1,2023-01-27 01:44:31,CUST02001,Website,SKU04173,1,872024,872024,0,872024,1,1,1
TX0000017,ORD0000017-1,2024-03-16 18:35:52,CUST04382,Play Store,SKU01787,1,350955,350955,0,350955,1,1,1
TX0000017,ORD0000017-2,2024-03-16 18:35:52,CUST04382,Play Store,SKU00753,1,1139688,1139688,0,1139688,1,1,1
TX0000018,ORD0000018-1,2020-07-21 23:27:49,CUST02214,Website,SKU02001,3,12114230,36342690,0,36342690,1,1,1
TX0000018,ORD0000018-2,2020-07-21 23:27:49,CUST02214,Website,SKU01706,1,51789,51789,0,51789,1,1,0
TX0000018,ORD0000018-3,2020-07-21 23:27:49,CUST02214,Website,SKU04282,3,901113,2703339,0,2703339,1,1,1
TX0000019,ORD0000019-1,2022-03-30 13:44:15,CUST01099,App Store,SKU00032,1,470655,470655,0,470655,1,1,1
TX0000019,ORD0000019-2,2022-03-30 13:44:15,CUST01099,App Store,SKU04311,4,4851789,19407156,0,19407156,1,1,1
TX0000020,ORD0000020-1,2020-02-03 18:00:32,CUST03545,App Store,SKU03845,3,1070850,3212550,0,3212550,1,1,0
TX0000020,ORD0000020-2,2020-02-03 18:00:32,CUST03545,App Store,SKU04549,2,160403,320806,0,320806,1,1,1
TX0000020,ORD0000020-3,2020-02-03 18:00:32,CUST03545,App Store,SKU01285,248,888887,220443976,0,220443976,1,1,1
TX0000021,ORD0000021-1,2024-07-10 09:43:20,CUST01142,Website,SKU01327,4,44565,178260,0,178260,1,1,0
TX0000021,ORD0000021-2,2024-07-10 09:43:20,CUST01142,Website,SKU00681,1,517473,517473,0,517473,1,1,1
TX0000021,ORD0000021-3,2024-07-10 09:43:20,CUST01142,Website,SKU02146,227,93850,21303950,0,21303950,1,1,1
TX0000022,ORD0000022-1,2024-08-07 07:54:29,CUST02702,Play Store,SKU00310,1,705552,705552,0,705552,1,1,1
TX0000023,ORD0000023-1,2024-09-19 21:48:10,CUST03721,Website,SKU04619,1,268074,268074,0,268074,1,0,0
TX0000024,ORD0000024-1,2023-01-15 10:07:52,CUST01986,App Store,SKU04958,1,24084,24084,0,24084,1,1,1
TX0000025,ORD0000025-1,2022-07-23 02:20:25,CUST02232,Website,SKU00940,2,1087787,2175574,0,2175574,1,0,0
TX0000026,ORD0000026-1,2020-07-28 04:32:07,CUST02243,Website,SKU04214,3,14450648,43351944,0,43351944,1,1,1
TX0000027,ORD0000027-1,2022-05-19 16:40:43,CUST02241,App Store,SKU02568,1,77645,77645,0,77645,1,1,1
TX0000027,ORD0000027-2,2022-05-19 16:40:43,CUST02241,App Store,SKU01872,1,286210,286210,0,286210,1,1,1
TX0000028,ORD0000028-1,2024-09-01 03:46:59,CUST03917,Play Store,SKU02140,2,940212,1880424,0,1880424,1,1,1
TX0000028,ORD0000028-2,2024-09-01 03:46:59,CUST03917,Play Store,SKU00202,3,341172,1023516,0,1023516,1,1,1
TX0000029,ORD0000029-1,2023-10-14 10:26:25,CUST02685,Play Store,SKU04151,1,4815675,4815675,0,4815675,1,1,1
TX0000029,ORD0000029-2,2023-10-14 10:26:25,CUST02685,Play Store,SKU03129,1,627293,627293,0,627293,1,1,1
TX0000029,ORD0000029-3,2023-10-14 10:26:25,CUST02685,Play Store,SKU02830,2,449980,899960,0,899960,1,1,1
TX0000029,ORD0000029-4,2023-10-14 10:26:25,CUST02685,Play Store,SKU02927,1,854544,854544,0,854544,1,1,1
TX0000029,ORD0000029-5,2023-10-14 10:26:25,CUST02685,Play Store,SKU04226,2,42901,85802,16281,69521,1,1,1
TX0000030,ORD0000030-1,2022-10-25 11:16:05,CUST00068,Play Store,SKU03581,1,322072,322072,0,322072,1,1,1
TX0000031,ORD0000031-1,2022-06-07 06:38:15,CUST00537,Website,SKU01613,1,1391216,1391216,0,1391216,1,1,1
TX0000032,ORD0000032-1,2020-05-25 10:39:00,CUST00077,Play Store,SKU00457,1,879463,879463,0,879463,1,1,1
TX0000033,ORD0000033-1,2021-03-05 13:11:05,CUST00676,Play Store,SKU01742,2,828456,1656912,0,1656912,1,1,1
TX0000033,ORD0000033-2,2021-03-05 13:11:05,CUST00676,Play Store,SKU02298,1,1495549,1495549,191494,1304055,1,1,1
TX0000033,ORD0000033-3,2021-03-05 13:11:05,CUST00676,Play Store,SKU03573,1,48947,48947,0,48947,1,1,1
TX0000033,ORD0000033-4,2021-03-05 13:11:05,CUST00676,Play Store,SKU00795,1,356218,356218,0,356218,1,1,1
TX0000034,ORD0000034-1,2021-07-15 10:05:50,CUST02854,Play Store,SKU02920,1,197107,197107,0,197107,1,1,1
TX0000034,ORD0000034-2,2021-07-15 10:05:50,CUST02854,Play Store,SKU01993,5,41546,207730,0,207730,1,1,1
TX0000035,ORD0000035-1,2020-12-21 19:59:35,CUST01727,Website,SKU02967,1,40817,40817,4289,36528,1,1,1
TX0000036,ORD0000036-1,2022-07-19 09:16:54,CUST01320,App Store,SKU03807,1,386803,386803,0,386803,1,0,0
TX0000036,ORD0000036-2,2022-07-19 09:16:54,CUST01320,App Store,SKU01885,1,421905,421905,0,421905,1,1,1
TX0000037,ORD0000037-1,2024-09-14 19:29:42,CUST04197,Website,SKU03996,1,581742,581742,0,581742,1,1,1
TX0000037,ORD0000037-2,2024-09-14 19:29:42,CUST04197,Website,SKU01027,1,28661,28661,0,28661,1,1,1
TX0000037,ORD0000037-3,2024-09-14 19:29:42,CUST04197,Website,SKU01372,3,727545,2182635,0,2182635,1,1,1
TX0000038,ORD0000038-1,2024-12-10 22:28:17,CUST00682,Play Store,SKU04838,2,797611,1595222,183328,1411894,1,1,1
TX0000039,ORD0000039-1,2021-03-11 07:38:20,CUST04212,App Store,SKU02850,1,219416,219416,0,219416,1,1,1
TX0000040,ORD0000040-1,2020-10-22 11:43:48,CUST04954,App Store,SKU00565,1,36077,36077,0,36077,1,1,1
TX0000041,ORD0000041-1,2020-12-20 18:49:09,CUST01132,Website,SKU00032,2,470655,941310,0,941310,1,1,1
TX0000041,ORD0000041-2,2020-12-20 18:49:09,CUST01132,Website,SKU00461,1,350812,350812,0,350812,1,1,1
TX0000041,ORD0000041-3,2020-12-20 18:49:09,CUST01132,Website,SKU01845,1,938838,938838,0,938838,1,0,0
TX0000042,ORD0000042-1,2023-11-25 00:26:30,CUST00410,Play Store,SKU00275,1,9384249,9384249,0,9384249,1,1,1
TX0000043,ORD0000043-1,2022-12-01 01:41:03,CUST03728,App Store,SKU00751,1,1908991,1908991,332718,1576273,1,1,0
TX0000044,ORD0000044-1,2022-12-23 08:25:45,CUST02603,Website,SKU03106,1,1077510,1077510,0,1077510,1,1,1
TX0000045,ORD0000045-1,2021-12-26 18:36:41,CUST01251,App Store,SKU04474,1,35144,35144,0,35144,1,1,1
TX0000046,ORD0000046-1,2022-12-30 03:55:46,CUST03226,App Store,SKU01301,1,573727,573727,0,573727,1,1,1
TX0000047,ORD0000047-1,2023-04-30 11:33:39,CUST03911,Play Store,SKU04527,1,4359334,4359334,0,4359334,1,1,1
TX0000048,ORD0000048-1,2024-09-08 12:32:26,CUST02985,Website,SKU01557,1,399778,399778,0,399778,1,1,1
TX0000048,ORD0000048-2,2024-09-08 12:32:26,CUST02985,Website,SKU02703,1,290488,290488,0,290488,1,1,1
TX0000048,ORD0000048-3,2024-09-08 12:32:26,CUST02985,Website,SKU04818,1,835719,835719,0,835719,1,1,1
TX0000049,ORD0000049-1,2024-04-28 03:04:43,CUST03743,Website,SKU04941,2,5261310,10522620,0,10522620,1,1,1
TX0000049,ORD0000049-2,2024-04-28 03:04:43,CUST03743,Website,SKU02487,1,6620806,6620806,0,6620806,1,1,1
TX0000050,ORD0000050-1,2020-11-22 03:00:11,CUST03291,Website,SKU00382,1,1453477,1453477,0,1453477,1,1,1
TX0000051,ORD0000051-1,2024-05-29 07:20:52,CUST02039,Play Store,SKU04935,3,30528,91584,0,91584,1,1,1
TX0000051,ORD0000051-2,2024-05-29 07:20:52,CUST02039,Play Store,SKU01279,1,1023269,1023269,0,1023269,1,1,1
TX0000052,ORD0000052-1,2023-12-11 18:33:55,CUST01538,Website,SKU04181,1,658943,658943,0,658943,1,1,1
TX0000052,ORD0000052-2,2023-12-11 18:33:55,CUST01538,Website,SKU02839,2,499752,999504,0,999504,1,0,0
