funnel_id,channel_source,customer_id,sku_id,funnel_date,status,event,order_id
CHN8567676,Play Store,CUST03079,SKU01954,2024-05-16 17:53:01,Purchase,Click to Buy,ORD0000001-1
CHN6746353,Website,CUST01021,SKU00853,2020-05-23 15:42:43,Click,Organic,
CHN2501619,Website,CUST01021,SKU00853,2020-05-23 15:43:15,Viewed,Organic,
CHN9579723,Website,CUST01021,SKU00853,2020-05-23 15:43:59,Add to Cart,Organic,
CHN1114140,Website,CUST01021,SKU00853,2020-05-23 15:44:12,Purchase,Organic,ORD0000002-1
CHN5037569,Website,CUST02197,SKU04650,2020-12-03 23:02:48,Purchase,Click to Buy,ORD0000003-1
CHN1225744,App Store,CUST01112,SKU04948,2024-08-12 08:31:09,Click,Organic,
CHN5139364,App Store,CUST01112,SKU04948,2024-08-12 08:31:53,Viewed,Organic,
CHN0349263,App Store,CUST01112,SKU04948,2024-08-12 08:32:39,Add to Cart,Organic,
CHN6114579,App Store,CUST01112,SKU04948,2024-08-12 08:32:49,Purchase,Organic,ORD0000004-1
CHN7852670,Play Store,CUST04805,SKU04923,2020-11-15 06:13:56,Purchase,Click to Buy,ORD0000005-1
CHN7316936,Website,CUST03561,SKU03400,2023-12-02 22:08:55,Click,Organic,
CHN9778803,Website,CUST03561,SKU03400,2023-12-02 22:09:29,Viewed,Organic,
CHN7095110,Website,CUST03561,SKU03400,2023-12-02 22:10:05,Add to Cart,Organic,
CHN6285925,Website,CUST03561,SKU03400,2023-12-02 22:10:22,Purchase,Organic,ORD0000006-1
CHN2304015,Play Store,CUST02993,SKU01746,2024-12-08 08:55:23,Click,Organic,
CHN1935786,Play Store,CUST02993,SKU01746,2024-12-08 08:56:10,Viewed,Organic,
CHN1499999,Play Store,CUST02993,SKU01746,2024-12-08 08:56:39,Add to Cart,Organic,
CHN9023399,Play Store,CUST02993,SKU01746,2024-12-08 08:56:50,Purchase,Organic,ORD0000007-1
CHN7959929,App Store,CUST01745,SKU01548,2021-01-15 07:57:25,Click,Organic,
CHN8392670,App Store,CUST01745,SKU01548,2021-01-15 07:58:41,Viewed,Organic,
CHN4343299,App Store,CUST01745,SKU01548,2021-01-15 07:58:58,Add to Cart,Organic,
CHN1724178,App Store,CUST01745,SKU01548,2021-01-15 07:59:18,Purchase,Organic,ORD0000008-1
CHN9718985,Play Store,CUST03569,SKU00898,2020-09-07 22:45:34,Click,Organic,
CHN5661515,Play Store,CUST03569,SKU00898,2020-09-07 22:45:53,Viewed,Organic,
CHN7153610,Play Store,CUST03569,SKU00898,2020-09-07 22:46:28,Add to Cart,Organic,
CHN1616494,Play Store,CUST03569,SKU00898,2020-09-07 22:46:41,Purchase,Organic,ORD0000009-1
CHN8433513,App Store,CUST02420,SKU04141,2022-02-09 05:21:57,Click,Organic,
CHN6755996,App Store,CUST02420,SKU04141,2022-02-09 05:22:32,Viewed,Organic,
CHN4571807,App Store,CUST02420,SKU04141,2022-02-09 05:22:51,Add to Cart,Organic,
CHN4854751,App Store,CUST02420,SKU04141,2022-02-09 05:23:05,Purchase,Organic,ORD0000010-1
CHN4886104,App Store,CUST04589,SKU03377,2021-12-19 07:46:31,Click,Organic,
CHN3190884,App Store,CUST04589,SKU03377,2021-12-19 07:47:16,Viewed,Organic,
