sku_id,category,brand,product,variant,sku_name,price ,cogs 
SKU01662,Electronics,Apple,Laptop,Limited Edition,Apple Laptop Limited Edition SKU01662,30004498,25125858
SKU04368,Electronics,Samsung,TV,Limited Edition,Samsung TV Limited Edition SKU04368,28866862,24042864
SKU02310,Electronics,Apple,Laptop,Limited Edition,Apple Laptop Limited Edition SKU02310,28750901,18673054
SKU03178,Electronics,Sony,Laptop,Limited Edition,Sony Laptop Limited Edition SKU03178,28038754,24581851
SKU00340,Electronics,Apple,Smartphone,Limited Edition,Apple Smartphone Limited Edition SKU00340,27851457,20336379
SKU03284,Electronics,Samsung,Smartphone,Limited Edition,Samsung Smartphone Limited Edition SKU03284,27271732,18778511
SKU04790,Electronics,Samsung,TV,Limited Edition,Samsung TV Limited Edition SKU04790,26952431,17030666
SKU00115,Electronics,Samsung,Tablet,Limited Edition,Samsung Tablet Limited Edition SKU00115,26846823,21522681
SKU02674,Electronics,Samsung,Tablet,Limited Edition,Samsung Tablet Limited Edition SKU02674,26722734,24024658
SKU00850,Electronics,Samsung,Laptop,Ultra,Samsung Laptop Ultra SKU00850,26721320,21147917
SKU03975,Electronics,Samsung,Smartphone,Limited Edition,Samsung Smartphone Limited Edition SKU03975,26683512,17248790
SKU02626,Electronics,Apple,Tablet,Limited Edition,Apple Tablet Limited Edition SKU02626,26662751,22009542
SKU03650,Electronics,Apple,Laptop,Ultra,Apple Laptop Ultra SKU03650,26653411,18683924
SKU03408,Electronics,Apple,TV,Ultra,Apple TV Ultra SKU03408,26179366,19139243
SKU01264,Electronics,Apple,Camera,Limited Edition,Apple Camera Limited Edition SKU01264,26128643,21863460
SKU00183,Electronics,Sony,Smartphone,Limited Edition,Sony Smartphone Limited Edition SKU00183,25877678,17639024
SKU00774,Electronics,Sony,Smartphone,Limited Edition,Sony Smartphone Limited Edition SKU00774,25825048,15779526
SKU02343,Electronics,Sony,Tablet,Limited Edition,Sony Tablet Limited Edition SKU02343,25572499,15569035
SKU03864,Electronics,Samsung,Tablet,Limited Edition,Samsung Tablet Limited Edition SKU03864,25568399,18608821
SKU03487,Electronics,Sony,Smartphone,Limited Edition,Sony Smartphone Limited Edition SKU03487,25469829,16000478
SKU01201,Electronics,Sony,Tablet,Limited Edition,Sony Tablet Limited Edition SKU01201,25363194,18154169
SKU02348,Electronics,Samsung,Camera,Limited Edition,Samsung Camera Limited Edition SKU02348,25251086,21747560
SKU03632,Electronics,Sony,Smartphone,Limited Edition,Sony Smartphone Limited Edition SKU03632,25226583,20217273
SKU01588,Electronics,Dell,Laptop,Limited Edition,Dell Laptop Limited Edition SKU01588,25205676,18439635
SKU04824,Electronics,HP,TV,Limited Edition,HP TV Limited Edition SKU04824,25001186,15159331
SKU02717,Electronics,Apple,Smartphone,Ultra,Apple Smartphone Ultra SKU02717,24912974,18958683
SKU03585,Electronics,Apple,Smartwatch,Limited Edition,Apple Smartwatch Limited Edition SKU03585,24853383,19599388
SKU00797,Electronics,HP,Laptop,Limited Edition,HP Laptop Limited Edition SKU00797,24747113,21449703
SKU00027,Electronics,Samsung,Laptop,Ultra,Samsung Laptop Ultra SKU00027,24463311,14908526
SKU04654,Electronics,Dell,Smartphone,Limited Edition,Dell Smartphone Limited Edition SKU04654,24454252,17417279
SKU01985,Electronics,Apple,Laptop,Pro,Apple Laptop Pro SKU01985,24386127,16923684
SKU04157,Electronics,Sony,Smartphone,Limited Edition,Sony Smartphone Limited Edition SKU04157,24372679,21112446
SKU01066,Electronics,Huawei,Laptop,Limited Edition,Huawei Laptop Limited Edition SKU01066,24270774,19754659
SKU00868,Electronics,Apple,Smartwatch,Limited Edition,Apple Smartwatch Limited Edition SKU00868,24229937,19778985
SKU03100,Electronics,Sony,TV,Ultra,Sony TV Ultra SKU03100,24020992,17086636
