transaction_id,transaction_date,customer_id,payment_method,before_tax,tax,after_tax,shipping_cost,transaction_discount,total_paid
TX0000001,2024-05-16 17:53:01,CUST03079,PM001,409872,37802.8,447674.8,16222,0,463896.8
TX0000002,2020-05-23 15:44:12,CUST01021,PM002,228213,22821.3,251034.3,24690,0,275724.3
TX0000003,2020-12-03 23:02:48,CUST02197,PM001,25627265,2560263,28187528,9043,0,28196571
TX0000004,2024-08-12 08:32:49,CUST01112,PM003,1046312,104631.2,1150943.2,11312,0,1162255.2
TX0000005,2020-11-15 06:13:56,CUST04805,PM006,139618,13961.8,153579.8,15436,0,169015.8
TX0000006,2023-12-02 22:10:22,CUST03561,PM001,529185,52918.5,582103.5,21578,0,603681.5
TX0000007,2024-12-08 08:56:50,CUST02993,PM003,410588,41058.8,451646.8,13507,0,465153.8
TX0000008,2021-01-15 07:59:18,CUST01745,PM001,5134792,513479.2,5648271.2,16479,0,5664750.2
TX0000009,2020-09-07 22:46:41,CUST03569,PM009,1288884,128888.4,1417772.4,6114,0,1423886.4
TX0000010,2022-02-09 05:23:05,CUST02420,PM003,178088,17808.8,195896.8,11315,0,207211.8
TX0000011,2021-12-19 07:48:16,CUST04589,PM001,351076,29007.2,380083.2,14954,0,395037.2
TX0000012,2020-11-08 17:34:22,CUST03685,PM002,67402,6335.4,73737.4,28038,0,101775.4
TX0000013,2022-12-11 09:13:26,CUST00292,PM005,641596,60208.5,701804.5,27406,10445,739655.5
TX0000014,2022-01-15 17:26:36,CUST02220,PM002,69796,6406.6,76202.6,18289,0,94491.6
TX0000015,2021-09-30 06:40:19,CUST02020,PM005,1472402,134770.5,1607172.5,18199,0,1625371.5
TX0000016,2023-01-27 01:44:31,CUST02001,PM001,872024,87202.4,959226.4,18171,0,977397.4
TX0000017,2024-03-16 18:35:52,CUST04382,PM007,1490643,149064.3,1639707.3,11484,0,1651191.3
TX0000018,2020-07-21 23:27:49,CUST02214,PM002,39097818,3909781.8,43007599.8,6762,0,43014361.8
TX0000019,2022-03-30 13:44:15,CUST01099,PM004,19877811,1987781.1,21865592.1,14124,0,21879716.1
TX0000020,2020-02-03 18:00:32,CUST03545,PM010,223977332,22397733.2,246375065.2,19636,0,246394701.2
TX0000021,2024-07-10 09:43:20,CUST01142,PM001,21999683,2199968.3,24199651.3,8150,0,24207801.3
TX0000022,2024-08-07 07:54:29,CUST02702,PM006,705552,70555.2,776107.2,18556,0,794663.2
TX0000023,2024-09-19 21:48:10,CUST03721,PM010,0,0,0,0,0,0
TX0000024,2023-01-15 10:07:52,CUST01986,PM004,24084,2408.4,26492.4,17354,0,43846.4
TX0000025,2022-07-23 02:20:25,CUST02232,PM001,0,0,0,0,0,0
TX0000026,2020-07-28 04:32:07,CUST02243,PM002,43351944,4335194.4,47687138.4,21129,0,47708267.4
TX0000027,2022-05-19 16:40:43,CUST02241,PM002,363855,36385.5,400240.5,20010,0,420250.5
TX0000028,2024-09-01 03:46:59,CUST03917,PM003,2903940,290394,3194334,6974,0,3201308
TX0000029,2023-10-14 10:26:25,CUST02685,PM003,7283274,726699.3,8009973.3,28540,0,8038513.3
TX0000030,2022-10-25 11:16:05,CUST00068,PM002,322072,32207.2,354279.2,24932,0,379211.2
TX0000031,2022-06-07 06:38:15,CUST00537,PM001,1391216,139121.6,1530337.6,9951,0,1540288.6
TX0000032,2020-05-25 10:39:00,CUST00077,PM006,879463,87946.3,967409.3,29039,0,996448.3
TX0000033,2021-03-05 13:11:05,CUST00676,PM005,3557626,336613.2,3894239.2,12447,0,3906686.2
TX0000034,2021-07-15 10:05:50,CUST02854,PM001,404837,40483.7,445320.7,9405,0,454725.7
TX0000035,2020-12-21 19:59:35,CUST01727,PM001,40817,3652.8,44469.8,23032,0,67501.8
TX0000036,2022-07-19 09:16:54,CUST01320,PM004,808708,80870.8,889578.8,25417,0,914995.8
TX0000037,2024-09-14 19:29:42,CUST04197,PM006,2793038,279303.8,3072341.8,20432,0,3092773.8
TX0000038,2024-12-10 22:28:17,CUST00682,PM010,1595222,141189.4,1736411.4,7378,0,1743789.4
TX0000039,2021-03-11 07:38:20,CUST04212,PM002,219416,21941.6,241357.6,8250,0,249607.6
TX0000040,2020-10-22 11:43:48,CUST04954,PM005,36077,3607.7,39684.7,19808,0,59492.7
TX0000041,2020-12-20 18:49:09,CUST01132,PM004,2230960,223096,2454056,23496,0,2477552
TX0000042,2023-11-25 00:26:30,CUST00410,PM002,9384249,938424.9,10322673.9,29225,0,10351898.9
TX0000043,2022-12-01 01:41:03,CUST03728,PM006,1908991,157627.3,2066618.3,27161,0,2093779.3
TX0000044,2022-12-23 08:25:45,CUST02603,PM001,1077510,107751,1185261,10259,0,1195520
TX0000045,2021-12-26 18:36:41,CUST01251,PM003,35144,3514.4,38658.4,15055,0,53713.4
TX0000046,2022-12-30 03:55:46,CUST03226,PM002,573727,57372.7,631099.7,16789,0,647888.7
TX0000047,2023-04-30 11:33:39,CUST03911,PM004,4359334,435933.4,4795267.4,28540,0,4823807.4
TX0000048,2024-09-08 12:32:26,CUST02985,PM009,1525985,152598.5,1678583.5,22510,28091,1729184.5
TX0000049,2024-04-28 03:04:43,CUST03743,PM004,17143426,1714342.6,18857768.6,17978,0,18875746.6
TX0000050,2020-11-22 03:00:11,CUST03291,PM010,1453477,145347.7,1598824.7,22344,0,1621168.7
TX0000051,2024-05-29 07:20:52,CUST02039,PM006,1114853,111485.3,1226338.3,5130,0,1231468.3
TX0000052,2023-12-11 18:33:55,CUST01538,PM002,1945024,192593.4,2137617.4,19554,0,2157171.4
TX0000053,2024-12-08 19:37:16,CUST01018,PM002,6870411,687041.1,7557452.1,23416,0,7580868.1
TX0000054,2021-04-01 07:00:49,CUST03813,PM001,305425,30542.5,335967.5,21367,0,357334.5
TX0000055,2024-11-29 06:48:29,CUST00093,PM001,12745756,1076730.6,13822486.6,17862,0,13840348.6
TX0000056,2021-01-14 08:04:43,CUST04862,PM002,62604,5716.8,68320.8,17182,4448,89950.8
TX0000057,2023-04-25 06:52:24,CUST01029,PM008,2626962,230235.6,2857197.6,12131,0,2869328.6
TX0000058,2021-05-10 00:34:53,CUST03329,PM004,21342678,1748753.6,23091431.6,20074,0,23111505.6
TX0000059,2022-09-18 21:28:47,CUST03653,PM005,325838872,32583887.2,358422759.2,5351,0,358428110.2
TX0000060,2024-02-10 19:58:10,CUST04658,PM006,557199,55719.9,612918.9,18605,0,631523.9
TX0000061,2020-05-09 10:35:06,CUST03405,PM001,969062,96906.2,1065968.2,15861,0,1081829.2
TX0000062,2023-05-31 08:02:33,CUST03871,PM002,21354356,2034705.9,23389061.9,12029,0,23401090.9
TX0000063,2021-11-11 12:36:34,CUST03805,PM005,465066,46506.6,511572.6,21590,0,533162.6
TX0000064,2021-09-04 03:15:13,CUST01369,PM003,728163,72816.3,800979.3,12323,0,813302.3
TX0000065,2020-10-15 06:46:12,CUST04420,PM004,850365,85036.5,935401.5,8510,0,943911.5
TX0000066,2022-08-25 15:55:24,CUST01716,PM001,15028783,1502878.3,16531661.3,23399,0,16555060.3
TX0000067,2021-07-03 04:42:16,CUST02807,PM003,758101,61521.4,819622.4,28769,0,848391.4
TX0000068,2023-02-02 04:12:21,CUST04847,PM002,189457,18945.7,208402.7,8716,0,217118.7
TX0000069,2024-06-02 09:06:18,CUST03024,PM008,658665,65470.4,724135.4,6228,0,730363.4
TX0000070,2023-10-19 23:14:58,CUST02844,PM005,75470,7547,83017,29230,0,112247
TX0000071,2023-09-02 23:08:04,CUST03384,PM010,397292,39729.2,437021.2,26805,0,463826.2
TX0000072,2022-05-01 13:11:41,CUST04832,PM002,2334961,221567.4,2556528.4,8014,0,2564542.4
TX0000073,2024-05-05 20:35:02,CUST03308,PM003,636718,55763.5,692481.5,13767,0,706248.5
TX0000074,2023-09-03 02:58:20,CUST02321,PM002,3612337,358775.7,3971112.7,21637,0,3992749.7
TX0000075,2021-08-09 03:08:40,CUST04316,PM001,11913708,1181399.2,13095107.2,8706,0,13103813.2
TX0000076,2024-07-29 03:01:12,CUST02314,PM003,39341,3647.6,42988.6,6151,0,49139.6
TX0000077,2021-09-25 21:17:49,CUST03570,PM007,6842372,684237.2,7526609.2,27945,0,7554554.2
TX0000078,2023-01-29 08:28:20,CUST04303,PM009,600816,60081.6,660897.6,16842,0,677739.6
TX0000079,2021-09-14 14:28:53,CUST00748,PM003,48222,4822.2,53044.2,6140,0,59184.2
TX0000080,2024-11-17 01:24:18,CUST04454,PM003,258598,25859.8,284457.8,6895,9976,301328.8
TX0000081,2024-01-15 14:21:59,CUST02896,PM005,46227,4622.7,50849.7,14601,0,65450.7
TX0000082,2023-01-20 00:16:43,CUST00617,PM001,690752,69075.2,759827.2,5812,0,765639.2
TX0000083,2023-04-16 07:24:34,CUST01047,PM005,31247,3124.7,34371.7,15947,0,50318.7
TX0000084,2021-05-07 05:06:47,CUST03061,PM003,1168335,116833.5,1285168.5,25975,0,1311143.5
TX0000085,2023-01-03 15:03:59,CUST03252,PM003,889602,76470.6,966072.6,22491,0,988563.6
TX0000086,2021-10-09 14:20:09,CUST04279,PM006,39495,3505.8,43000.8,18808,2758,64566.8
TX0000087,2024-01-03 14:18:16,CUST03819,PM002,786742,78674.2,865416.2,17786,0,883202.2
TX0000088,2024-03-12 05:37:47,CUST02701,PM003,69396,5937.1,75333.1,29253,0,104586.1
TX0000089,2022-08-23 06:34:57,CUST03190,PM004,1177850,117785,1295635,20377,0,1316012
TX0000090,2020-12-30 14:43:36,CUST00822,PM004,39024,3902.4,42926.4,15377,0,58303.4
TX0000091,2020-09-30 16:29:32,CUST00572,PM005,1005080,90660.8,1095740.8,22446,0,1118186.8
TX0000092,2023-05-28 07:49:04,CUST03112,PM002,1389555,137593.1,1527148.1,17572,0,1544720.1
